06:30,0,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara
13:45,9,A1,C4,PK5,G6,I1,C3,PK3,G5,L1,E3,O2,B2,G7,G4,E1,B3,H2,E4,D2,PK4,J2,G1,D1,B4,G3,O1,J4,C1,E2,H1
14:20,10,A1,C4,PK5,G6,I1,C3,PK3,G5,L1,E3,O2,B2,G7,G4,E1,E4,B,3,B3,D2,PK4,J2,G1,D1,B4,G3,O1,J4,C1,E2,H1
15:00,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai
06:30,0,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi
06:45,1,J1,PK5,C4,N2,L1,N1,C3,T3,E3,A1,F2,D2,I1,T1,A2,H4,F4,PK4,B3,J2,C2,I2,PK1,F3,T2,K3,E2,J4,E1,B4
07:30,2,J1,PK5,C4,N2,L1,N1,C3,T3,E3,A1,F2,D2,I1,T1,A2,H4,F4,PK4,B3,J2,C2,I2,PK1,F3,T2,K3,E2,J4,E1,B4
08:15,3,J1,T1,A1,C4,N2,N1,G5,C3,E3,J3,F2,Q3,I1,A2,L1,PK4,F4,D2,B3,J2,PK1,I2,C2,F3,T2,D1,E2,B4,E1,J4
09:00,4,E3,T1,A1,C4,K2,K3,G5,C3,Q1,J3,I1,F2,Q4,A2,L1,PK4,J1,D2,F4,B3,PK1,E2,C2,I2,F3,D1,B4,G6,Q3,J4
09:40,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat
10:00,5,E3,D2,T3,A1,K2,K3,N1,J3,C3,C4,I1,F2,G7,O2,K1,T1,J1,C2,F4,B3,T2,E2,L1,I2,F3,E1,B4,G6,D1,A2
